distance,cab_type,name,time_stamp,destination,source,price,surge_multiplier,id,product_id
1.4,Lyft,Lyft,1.54327E+12,Fenway,Back Bay,7,1,2382ce6b-74f7-4879-b00b-80e2c995f779,lyft
1.4,Lyft,Shared,1.54332E+12,Fenway,Back Bay,3,1,5cb71089-07a9-4ff9-9afb-54080d512da0,lyft_line
1.4,Lyft,Lux,1.54375E+12,Fenway,Back Bay,13.5,1,65a3dd83-4773-4172-93e2-2620dc42e92e,lyft_premier
1.4,Lyft,Lux Black,1.54492E+12,Fenway,Back Bay,16.5,1,9277e4fa-e696-415e-b2e0-94dfd395925d,lyft_lux
1.4,Lyft,Lyft XL,1.54373E+12,Fenway,Back Bay,10.5,1,9799b1e2-f62a-45c9-8326-ccbba69994af,lyft_plus
1.4,Lyft,Lux Black XL,1.54367E+12,Fenway,Back Bay,27.5,1,bac0c1d3-2bd0-4bd9-aabc-a18d1d5bf6bc,lyft_luxsuv
1.01,Lyft,Lux Black,1.54346E+12,North Station,North End,16.5,1,1a2cacd5-b9e8-4b2e-b27c-19e7144f10ee,lyft_lux
1.01,Lyft,Lyft,1.54513E+12,North Station,North End,7,1,4d0ebe87-60d1-43ad-86e3-e06550857e1d,lyft
1.01,Lyft,Shared,1.54512E+12,North Station,North End,5,1,6b5c1ecb-3216-445f-96f7-fc9694364a0a,lyft_line
1.01,Lyft,Lux,1.54321E+12,North Station,North End,13.5,1,8e5b8d23-f08a-4301-bfc4-26d624585214,lyft_premier
1.01,Lyft,Lux Black XL,1.54335E+12,North Station,North End,27.5,1,9afde07b-18e7-4889-94d7-1e15810d9b56,lyft_luxsuv
1.01,Lyft,Lyft XL,1.54369E+12,North Station,North End,10.5,1,f8ab1b64-d303-4001-b554-4057ba0bfedf,lyft_plus
2.84,Uber,UberX,1.54356E+12,Fenway,West End,11,1,00ffaa21-d3ce-40f6-bf8f-67eb843fca97,55c66225-fbe7-4fd5-9072-eab1ece5e23e
2.84,Uber,Taxi,1.54469E+12,Fenway,West End,,1,2f942312-92c8-499b-91f0-20e6bd75fcc8,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a
